"dataset_name","groupKeys","id","model_name","name","test_best_historical_mae","test_best_historical_mse","test_best_historical_mse_Target_Bitcoin","test_best_historical_mse_Target_Ethereum","test_best_historical_r2","test_best_historical_rmse"
"etth2","group-deeptime_etth2_in288_out96_noise_gaussian_std0.5_vsparsity_benchmarking_gaus","yrlvn6t5","deeptime","deeptime_etth2_in288_out96_noise_gaussian_std0.5_vsparsity_benchmarking_gaus_seed1439086","0.2914793765983461","0.1391039961686382","undefined","undefined","-0.548974426051051","0.34926147570680927"
"traffic","group-nbeats_traffic_in672_out96_noise_gaussian_std1.0_vsparsity_benchmarking_gaus","9730vmh6","nbeats","nbeats_traffic_in672_out96_noise_gaussian_std1.0_vsparsity_benchmarking_gaus_seed1439091","0.3906234645989062","0.28950137214929095","undefined","undefined","0.843974482531781","0.5178201968975168"
"etth2","group-inrplay_deeptime_etth2_in288_out96_noise_gaussian_std1.0_vsparsity_benchmarking_gaus","dloloy9s","inrplay_deeptime","inrplay_deeptime_etth2_in288_out96_noise_gaussian_std1.0_vsparsity_benchmarking_gaus_seed1439097","0.322869236641881","0.1648635595261678","undefined","undefined","-1.111782676124534","0.3821552086801675"
"traffic","group-mixture_experts_deeptime_traffic_in672_out96_K45_noise_gaussian_std0.5_vsparsity_benchmarking_gaus","0zi3a0qr","mixture_experts_deeptime","mixture_experts_deeptime_traffic_in672_out96_K45_noise_gaussian_std0.5_vsparsity_benchmarking_gaus_seed1439097","0.25167923394195857","0.15246021722621408","undefined","undefined","0.9195141722487772","0.3544934476271179"
"traffic","group-inrplay_deeptime_traffic_in672_out96_noise_gaussian_std0.5_vsparsity_benchmarking_gaus","8qs751lx","inrplay_deeptime","inrplay_deeptime_traffic_in672_out96_noise_gaussian_std0.5_vsparsity_benchmarking_gaus_seed1439099","0.2358468232818956","0.1423378542512279","undefined","undefined","0.9259320584213794","0.33951041218489625"
"etth2","group-omp_deeptime_etth2_in288_out96_nonzero15_noise_gaussian_std1.0_vsparsity_benchmarking_multiplelookback","8xydqfgl","omp_deeptime","omp_deeptime_etth2_in288_out96_nonzero15_noise_gaussian_std1.0_vsparsity_benchmarking_multiplelookback_seed1439092_tol1e-3","0.32140220716960305","0.16438802364975838","undefined","undefined","-1.0060144530882948","0.3818665640944013"
"etth2","group-mixture_experts_deeptime_etth2_in288_out96_K15_noise_gaussian_std1.0_vsparsity_benchmarking_gaus","0egve1tf","mixture_experts_deeptime","mixture_experts_deeptime_etth2_in288_out96_K15_noise_gaussian_std1.0_vsparsity_benchmarking_gaus_seed1439097","0.33797657503852396","0.18031517061353156","undefined","undefined","-1.2234895288390653","0.39795054973764105"
"traffic","group-deeptime_traffic_in672_out96_noise_gaussian_std1.0_vsparsity_benchmarking_gaus","ha264rb8","deeptime","deeptime_traffic_in672_out96_noise_gaussian_std1.0_vsparsity_benchmarking_gaus_seed1439086","0.29510243147143306","0.1864511177134355","undefined","undefined","0.9020177094582444","0.4059481751186727"
"etth2","group-deeptime_etth2_in288_out96_noise_gaussian_std1.0_vsparsity_benchmarking_gaus","0ob6fz21","deeptime","deeptime_etth2_in288_out96_noise_gaussian_std1.0_vsparsity_benchmarking_gaus_seed1439085","0.3247298954141305","0.16496270676023098","undefined","undefined","-0.9345107009114166","0.3838731320230384"
"traffic","group-nbeats_traffic_in672_out96_noise_gaussian_std0.5_vsparsity_benchmarking_gaus","fd57fpqa","nbeats","nbeats_traffic_in672_out96_noise_gaussian_std0.5_vsparsity_benchmarking_gaus_seed1439091","0.29069044606836936","0.18598177099153937","undefined","undefined","0.9002804890573017","0.3974225281519483"
"etth2","group-mixture_experts_deeptime_etth2_in288_out96_K15_noise_gaussian_std0.5_vsparsity_benchmarking_gaus","6lqbfx9t","mixture_experts_deeptime","mixture_experts_deeptime_etth2_in288_out96_K15_noise_gaussian_std0.5_vsparsity_benchmarking_gaus_seed1439097","0.3226733514565579","0.16641885800332656","undefined","undefined","-1.0852901140570044","0.3841826109470489"
"crypto","group-omp_deeptime_crypto_in105_out15_nonzero15_noise_gaussian_std1.0_vsparsity_benchmarking_multiplelookback","0kruix78","omp_deeptime","omp_deeptime_crypto_in105_out15_nonzero15_noise_gaussian_std1.0_vsparsity_benchmarking_multiplelookback_seed1439107_tol1e-3","0.3784007762513071","0.2841962781528082","0.2841962781528082","undefined","-2.235867061793294","0.442353566778739"
"etth2","group-omp_deeptime_etth2_in288_out96_nonzero15_noise_gaussian_std0.5_vsparsity_benchmarking_multiplelookback","n7gsqqkr","omp_deeptime","omp_deeptime_etth2_in288_out96_nonzero15_noise_gaussian_std0.5_vsparsity_benchmarking_multiplelookback_seed1439092_tol1e-3","0.30814061008481347","0.15497471349239497","undefined","undefined","-0.9180164586277072","0.367717548992237"
"etth2","group-inrplay_deeptime_etth2_in288_out96_noise_gaussian_std0.5_vsparsity_benchmarking_gaus","ii5rlrnu","inrplay_deeptime","inrplay_deeptime_etth2_in288_out96_noise_gaussian_std0.5_vsparsity_benchmarking_gaus_seed1439097","0.302269492189888","0.14704591856822632","undefined","undefined","-0.8427402437901311","0.35956869446440326"
"crypto","group-inrplay_deeptime_crypto_in105_out15_noise_gaussian_std1.0_vsparsity_benchmarking_gaus","wk2wp2ka","inrplay_deeptime","inrplay_deeptime_crypto_in105_out15_noise_gaussian_std1.0_vsparsity_benchmarking_gaus_seed1439109","0.37969520696005066","0.2832186697478506","0.2832186697478506","undefined","-2.2564774607224862","0.4431319415522725"
"traffic","group-mixture_experts_deeptime_traffic_in672_out96_K45_noise_gaussian_std1.0_vsparsity_benchmarking_gaus","dfw0vsnm","mixture_experts_deeptime","mixture_experts_deeptime_traffic_in672_out96_K45_noise_gaussian_std1.0_vsparsity_benchmarking_gaus_seed1439096","0.30484836185257186","0.201658998215008","undefined","undefined","0.8916028743745709","0.4183530885994534"
"etth2","group-mixture_experts_deeptime_etth2_in288_out96_K15_noise_gaussian_std1.0_vsparsity_benchmarking_gaus","cqeidwu7","mixture_experts_deeptime","mixture_experts_deeptime_etth2_in288_out96_K15_noise_gaussian_std1.0_vsparsity_benchmarking_gaus_seed1439096","0.3609342622302839","0.20296982878770548","undefined","undefined","-1.575564995428098","0.4246051420193489"
"crypto","group-mixture_experts_deeptime_crypto_in105_out15_K15_noise_gaussian_std1.0_vsparsity_benchmarking_gaus","7o5mq8gl","mixture_experts_deeptime","mixture_experts_deeptime_crypto_in105_out15_K15_noise_gaussian_std1.0_vsparsity_benchmarking_gaus_seed1439108","0.36846927580516703","0.2774556877017248","0.2774556877017248","undefined","-1.8436473726138176","0.4308705192398902"
"traffic","group-nbeats_traffic_in672_out96_noise_gaussian_std1.0_vsparsity_benchmarking_gaus","xbxinad1","nbeats","nbeats_traffic_in672_out96_noise_gaussian_std1.0_vsparsity_benchmarking_gaus_seed1439090","0.3963513650280991","0.30139099788355556","undefined","undefined","0.8402197435621073","0.5293332321689797"
"exchange_rate","group-mixture_experts_deeptime_exchange_rate_in288_out96_K15_noise_gaussian_std1.0_vsparsity_benchmarking_gaus","9uj7cneg","mixture_experts_deeptime","mixture_experts_deeptime_exchange_rate_in288_out96_K15_noise_gaussian_std1.0_vsparsity_benchmarking_gaus_seed1439098","0.45538265528430766","0.28671855914843186","undefined","undefined","-14.370247862839598","0.4840548825496443"
"etth2","group-omp_deeptime_etth2_in288_out96_nonzero15_noise_gaussian_std1.0_vsparsity_benchmarking_multiplelookback","ad3clu1w","omp_deeptime","omp_deeptime_etth2_in288_out96_nonzero15_noise_gaussian_std1.0_vsparsity_benchmarking_multiplelookback_seed1439091_tol1e-3","0.33199029815264347","0.17135950744826317","undefined","undefined","-1.0582166215677271","0.3914655118106037"
"etth2","group-mixture_experts_deeptime_etth2_in288_out96_K15_noise_gaussian_std0.5_vsparsity_benchmarking_gaus","ycas7m90","mixture_experts_deeptime","mixture_experts_deeptime_etth2_in288_out96_K15_noise_gaussian_std0.5_vsparsity_benchmarking_gaus_seed1439096","0.3372199264019918","0.17639472999984376","undefined","undefined","-1.3513362364804913","0.3953094689595554"
