"dataset_name","groupKeys","id","model_name","name","noise_std","test_best_historical_mse","test_best_historical_mse_Target_Bitcoin","test_best_historical_mse_Target_Ethereum"
"etth2","group-deeptime_etth2_in288_out96_noise_laplace_std1.0_vsparsity_benchmarking","4aap8zkh","deeptime","deeptime_etth2_in288_out96_noise_laplace_std1.0_vsparsity_benchmarking_seed1355519","1","0.1655692382506567","undefined","undefined"
"traffic","group-nbeats_traffic_in672_out96_noise_laplace_std1.0_vsparsity_benchmarking","tidtlfn5","nbeats","nbeats_traffic_in672_out96_noise_laplace_std1.0_vsparsity_benchmarking_seed1355525","1","0.28696629062470985","undefined","undefined"
"etth2","group-deeptime_etth2_in288_out96_noise_laplace_std0.5_vsparsity_benchmarking","g73cland","deeptime","deeptime_etth2_in288_out96_noise_laplace_std0.5_vsparsity_benchmarking_seed1355519","0.5","0.13829111655576928","undefined","undefined"
"exchange_rate","group-omp_deeptime_exchange_rate_in288_out96_nonzero45_noise_laplace_std1.0_vsparsity_benchmarking","j0jvylg8","omp_deeptime","omp_deeptime_exchange_rate_in288_out96_nonzero45_noise_laplace_std1.0_vsparsity_benchmarking_seed1355527_tol1e-3","1","0.15247426909962894","undefined","undefined"
"traffic","group-nbeats_traffic_in672_out96_noise_laplace_std0.5_vsparsity_benchmarking","zuq33sst","nbeats","nbeats_traffic_in672_out96_noise_laplace_std0.5_vsparsity_benchmarking_seed1355525","0.5","0.18364066050292763","undefined","undefined"
"undefined","group-naive_martingle_exchange_rate_in96_out96_noise_std0_vSlurm_OT","oy0c3aaa","undefined","naive_martingle_exchange_rate_in96_out96_noise_std0_vSlurm_OT_seed0","undefined","0.08746863624481742","undefined","undefined"
"etth2","group-omp_deeptime_etth2_in288_out96_nonzero105_noise_laplace_std0.5_vsparsity_benchmarking","m2j20yab","omp_deeptime","omp_deeptime_etth2_in288_out96_nonzero105_noise_laplace_std0.5_vsparsity_benchmarking_seed1355524_tol1e-3","0.5","0.15975356938284452","undefined","undefined"
"etth2","group-deeptime_etth2_in288_out96_noise_laplace_std0_vsparsity_benchmarking","tqeyh2dw","deeptime","deeptime_etth2_in288_out96_noise_laplace_std0_vsparsity_benchmarking_seed1355519","0","0.12845293163322394","undefined","undefined"
"exchange_rate","group-omp_deeptime_exchange_rate_in288_out96_nonzero45_noise_laplace_std0.5_vsparsity_benchmarking","jy16msr3","omp_deeptime","omp_deeptime_exchange_rate_in288_out96_nonzero45_noise_laplace_std0.5_vsparsity_benchmarking_seed1355527_tol1e-3","0.5","0.12023683034297404","undefined","undefined"
"traffic","group-nbeats_traffic_in672_out96_noise_laplace_std0_vsparsity_benchmarking","hdu3f745","nbeats","nbeats_traffic_in672_out96_noise_laplace_std0_vsparsity_benchmarking_seed1355525","0","0.13875859300558932","undefined","undefined"
"traffic","group-omp_deeptime_traffic_in672_out96_nonzero105_noise_laplace_std0_vsparsity_benchmarking","66nmhuu9","omp_deeptime","omp_deeptime_traffic_in672_out96_nonzero105_noise_laplace_std0_vsparsity_benchmarking_seed1355536_tol1e-3","0","0.1178074540807032","undefined","undefined"
"undefined","group-naive_seasonal_etth2_in96_out96_noise_std0_vSlurm_OT","cylhlxdq","undefined","naive_seasonal_etth2_in96_out96_noise_std0_vSlurm_OT_seed0","undefined","0.1965991450495619","undefined","undefined"
